,sample_id,weight,area_max,d13C,se_C,d18O,se_O,pCO3,se_CO3,batch_id,notes
50,LARO90-A,0.926,13.387,-9.700225718,0.032689479,-5.129480381,0.114634533,0.035737811,0.002512861,23-143-2altered,
51,LARO82-A,1.031,16.479,-10.55766687,0.035466147,-6.724269616,0.107941845,0.039511895,0.002778231,23-143-2altered,
52,LARO84-A,1.064,16.715,-8.42627088,0.028662229,-7.065400201,0.106744005,0.038834742,0.002730618,23-143-2altered,
53,LARO85-A,1.025,15.309,-9.523963905,0.032124558,-4.94681411,0.115507243,0.03692144,0.002596086,23-143-2altered,
54,LARO87-A,1.004,15.602,-10.09146761,0.033950885,-6.835157809,0.107542888,0.038415124,0.002701113,23-143-2altered,
55,LARO89-A,1.073,15.392,-9.188671604,0.031056252,-6.923847504,0.107230413,0.035461002,0.002493398,23-143-2altered,
56,LARO97-A,0.988,14.7,-10.33053617,0.034726359,-6.982607361,0.107026653,0.036780368,0.002586167,23-143-2altered,
57,LAR107-A,1.012,17.079,-10.37891875,0.034883705,-9.994630002,0.100388685,0.041719357,0.002933446,23-143-2altered,
58,LARO92-A,1.06,18.077,-8.920856822,0.030209373,-5.155222888,0.114513191,0.042157628,0.002964263,23-143-2altered,
59,LARO98-A,0.915,15.349,-11.09834088,0.03723804,-6.430298971,0.109043251,0.041468151,0.002915783,23-143-2altered,
60,LARO95-A,1.007,15.552,-8.962153687,0.030339567,-9.487458398,0.100952744,0.038177937,0.002684436,23-143-2altered,
61,LAR100-A,0.973,16.559,-9.245939529,0.031238106,-7.355222326,0.105796148,0.042070429,0.002958131,23-143-2altered,
62,LARO96-A,1.08,15.629,-9.467448401,0.031943896,-6.039942752,0.110601289,0.035773638,0.00251538,23-143-2altered,
63,LAR101-A,0.968,15.912,-6.99879622,0.02435348,-4.978746043,0.115353219,0.040635451,0.002857233,23-143-2altered,
64,LARO80-A,0.95,13.655,-9.504282667,0.032061617,-9.13698036,0.101478666,0.035532337,0.002498413,23-143-2altered,
65,LAR112-A,1.076,15.844,-10.27925286,0.104143991,-6.255082857,0.231210458,0.032423892,0.002496466,23-318altered,
66,LAR113-A,1.068,15.487,-9.295511718,0.094286103,-6.899113281,0.225288682,0.031930714,0.002458494,23-318altered,
67,LAR116-A,0.936,12.507,-9.461275386,0.095929837,-6.107876612,0.23263546,0.029423199,0.002265429,23-318altered,
68,LAR117-A,0.932,14.762,-9.87704232,0.100084822,-7.974079697,0.216625253,0.034877221,0.002685359,23-318altered,
69,LAR119-A,1.057,15.826,-8.123798546,0.082919415,-6.902179022,0.225261749,0.032969226,0.002538454,23-318altered,
70,LAR120-A,1.047,15.123,-9.605235106,0.097363461,-11.15191269,0.201515508,0.031805619,0.002448862,23-318altered,
71,LAR121-A,0.928,14.839,-8.923633683,0.090627909,-5.309209475,0.24080052,0.035210261,0.002711002,23-318altered,
72,LAR122-A,0.928,15.003,-9.530125042,0.096614786,-7.000937874,0.22440072,0.035599403,0.002740963,23-318altered,
73,LAR124-A,0.933,16.438,-10.08612533,0.102190351,-6.872342539,0.225524379,0.038795371,0.002987036,23-318altered,
74,LAR128-A,1.028,15.569,-9.684645394,0.0981566,-6.096001662,0.232751535,0.033348798,0.002567679,23-318altered,
75,LAR132-A,0.931,14.722,-9.90464438,0.100362195,-8.749269826,0.211414907,0.034820076,0.002680959,23-318altered,
76,LAR137-A,1.031,15.681,-10.5499633,0.106895744,-10.32527999,0.203796292,0.033490966,0.002578625,23-318altered,
77,LAR139-A,0.978,14.454,-9.594854966,0.097259906,-7.093554556,0.223604892,0.032543314,0.002505661,23-318altered,
